id;Bundesland;Anlage;Betreiber;380 kV;220 kV;Koordinaten;Baujahr;Bemerkungen
SH354;Schleswig-Holstein;Hamburg-Nord/Ulzburg;TenneT TSO;;x;53.7659, 9.988;;Henstedt-Ulzburg
SH355;Schleswig-Holstein;Itzehoe West;Tennet TSO;;x;53.96721, 9.449652;;
SH356;Schleswig-Holstein;Jardelund;Tennet TSO;x;;54.851045, 9.196995;;
SH357;Schleswig-Holstein;Kummerfeld;Tennet TSO;;x;53.690556, 9.776389;;
SH358;Schleswig-Holstein;Krümmel;Tennet TSO;x;;53.413333, 10.412778;;
SH359;Schleswig-Holstein;Lübeck-Herrenwyk;Tennet TSO;x;;53.895833, 10.802222;;HG†-Station Baltic Cable (450 kV)
SH360;Schleswig-Holstein;Lübeck-Siems;Tennet TSO;x;x;53.909444, 10.760556;;Beginn der 380-kV-Inselleitung nach Herrenwyk
SH361;Schleswig-Holstein;Lübeck;Tennet TSO;;x;53.918889, 10.641111;;Stockelsdorf
SH362;Schleswig-Holstein;Wilster;Tennet TSO;x;;53.921667, 9.344722;;Schaltanlage
TH363;Thüringen;Altenfeld;50HertzT;x;;50.574167, 10.989722;;
TH364;Thüringen;Eisenach;50HertzT;x;;51.001667, 10.385278;;
TH365;Thüringen;Großschwabhausen;50HertzT;x;;50.93, 11.470556;;
TH366;Thüringen;Hohenwarte II;;;x;50.603889, 11.474444;;
TH367;Thüringen;Remptendorf;50HertzT;x;x;50.534444, 11.646667;;
TH368;Thüringen;Vieselbach;50HertzT;x;x;50.999444, 11.122778;;
TH369;Thüringen;Weida;50HertzT;x;x;50.781389, 12.044722;;
TH370;Thüringen;Wolkramshausen;50HertzT;;x;51.440278, 10.735556;;
